original_address,lat,lon,formatted,district,name,suburb,postcode,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Las Vegas, Nevada, USA",36.1672559,-115.148516,"Las Vegas, NV, United States of America",,,,,,Las Vegas,Clark County,Nevada,NV,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Abu Dhabi, Abu Dhabi, United Arab Emirates",24.4538352,54.3774014,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",,,,,,Abu Dhabi,,Abu Dhabi Emirate,,United Arab Emirates,ae,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Jacksonville, Florida, USA",30.3321838,-81.655651,"Jacksonville, FL, United States of America",,,,,,Jacksonville,Duval County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Brasilia, Distrito Federal, Brazil",-15.7934036,-47.8823172,"Brasília - Federal District, 70701-000, Brazil",,Brasília,,70701-000,,Brasília,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Federal District,,Brazil,br,1,0.4782969000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Norfolk, Virginia, USA",36.8448348,-76.2863999,"Norfolk, VA, United States of America",,,,,,Norfolk,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Auckland, New Zealand",-36.852095,174.7631803,"Auckland 1010, New Zealand",,Auckland,,1010,,Auckland,,Auckland,AUK,New Zealand,nz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Rio Rancho, New Mexico, USA",35.2702448,-106.6329806,"Rio Rancho, NM, United States of America",,,,,,Rio Rancho,Sandoval County,New Mexico,NM,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Houston, Texas, USA",29.7589382,-95.3676974,"Houston, TX, United States of America",,,,,,Houston,Harris County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Raleigh, North Carolina, USA",35.7803977,-78.6390989,"Raleigh, NC, United States of America",,,,,,Raleigh,Wake County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Busan, South Korea",35.1799528,129.0752365,"Busan, South Korea",,,,,,Busan,,,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Washington, DC, USA",38.8950368,-77.0365427,"Washington, DC, United States of America",,,,,,Washington,,District of Columbia,DC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Sao Paulo, Sao Paulo, Brazil",-23.5506507,-46.6333824,"São Paulo, Região Metropolitana de São Paulo, Brazil",,,,,,São Paulo,Região Metropolitana de São Paulo,São Paulo,SP,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Moscow, Moscow, Russia",55.7505412,37.6174782,"Moscow, Russia",,Moscow,,,,Moscow,,Moscow,,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"New York City, New York, USA",40.7127281,-74.0060152,"New York, NY, United States of America",,,,,,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Kallang, Singapore",1.310759,103.866262,"Kallang, Singapore",,Kallang,Kallang,,,Singapore,Central,,,Singapore,sg,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Boston, Massachusetts, USA",42.3554334,-71.060511,"Boston, MA, United States of America",,,,,,Boston,Suffolk County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Tampa, Florida, USA",27.9477595,-82.458444,"Tampa, FL, United States of America",,,,,,Tampa,Hillsborough County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Melbourne, Victoria, Australia",-37.8142454,144.9631732,"Melbourne, VIC, Australia",,,,,,Melbourne,,Victoria,VIC,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Copenhagen, Denmark",55.6867243,12.5700724,"1357 Copenhagen, Denmark",,Copenhagen,,1357,,Copenhagen,,Capital Region of Denmark,,Denmark,dk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Mexico City, Distrito Federal, Mexico",19.4326296,-99.1331785,"Mexico City, Mexico",,,,,,Mexico City,,,,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vancouver, British Columbia, Canada",49.2608724,-123.113952,"Vancouver, BC, Canada",,,,,,Vancouver,Metro Vancouver Regional District,British Columbia,BC,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Shenzhen, Guangdong, China",22.5445741,114.0545429,"Shenzhen, Guangdong Province, China",,,,,,Shenzhen,,Guangdong Province,,China,cn,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Anaheim, California, USA",33.8347516,-117.911732,"Anaheim, CA, United States of America",,,,,,Anaheim,Orange County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Montevideo, Uruguay",-34.9058916,-56.1913095,"Montevideo, MO, Uruguay",,,,,,Montevideo,,Montevideo,MO,Uruguay,uy,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
